# service_name, package_name, daemon_name (as recognized by chkconfig / systemd. To be used when daemon_name differs from service_name)
abrtd,abrt,
acpid,acpid,
atd,at,
autofs,autofs,
avahi-daemon,avahi,
bluetooth,bluez,
certmonger,certmonger,
cgconfig,libcgroup,
cgred,libcgroup-tools,
cpupower,kernel-tools,
cups,cups,
dhcpd,dhcp,
dovecot,dovecot,
httpd,httpd,
kdump,kexec-tools,
mdmonitor,mdadm,
messagebus,dbus,
named,bind,
netconsole,,
nfs,nfs-utils,
nfslock,nfs-utils,
ntpdate,ntpdate,
oddjobd,oddjob,
portreserve,portreserve,
rdisc,iputils,
rhnsd,rhnsd,
rhsmcertd,subscription-manager,
rpcgssd,nfs-utils,
rpcbind,nfs-utils,
rpcidmapd,nfs-utils,
rpcsvcgssd,nfs-utils,
saslauthd,cyrus-sasl,
smartd,smartmontools,
smb,samba,
snmpd,net-snmp,
squid,squid,
sssd,sssd,
qpidd,qpid-cpp-server,
quota_nld,quota-nld,
sysstat,sysstat,
tftp,tftp-server,
vsftpd,vsftpd,
xinetd,xinetd,
ypbind,ypbind,
zebra,quagga,
