abrt,removed,
acpid,removed,
aide,installed,4209-3
at,removed,
audit,installed,
autofs,removed,
bind,removed,4219-2 
certmonger,removed,
cpuspeed,removed,
cronie,installed,
cups,removed,
cyrus-sasl,removed,
dbus,removed,
dhcp,removed,4464-4 
dovecot,removed,4239-0
hal,removed,
httpd,removed,4514-6 
inetd,removed,4023-8
ipsec-tools,installed,18031-5
iptables,installed,
iptables-ipv6,installed,
irda-utils,removed,17504-2
irqbalance,installed,
isdn4k-utils,removed,14825-4
kexec-tools,removed,
libcgroup,removed,
lvm2,installed,
mdadm,removed,
net-snmp,removed,4404-0
nfs-utils,removed,
ntpdate,installed,
ntp,installed,
oddjob,removed,
openldap,removed,
openssh-server,removed,
openswan,installed,
pam_ccreds,removed,17250-2 
policycoreutils,installed,
portreserve,removed,
postfix,installed,14068-1
psacct,installed,
quota,removed,
rpcbind,removed,
rsh,removed,4308-3
rsh-server,removed,
rsyslog,installed,17742-8
samba-common,removed,
samba,removed,
sendmail,removed,14495-6
smartmontools,removed,
squid,removed,4076-6
sssd,removed,
sysstat,removed,
talk,removed,18200-6
talk-server,removed,18151-1
telnet-server,removed,4330-7
tftp-server,removed,3916-4
vlock,removed,3910-7
vsftpd,removed,14881-7
xinetd,removed,4164-0
ypbind,removed,
ypserv,removed,
