abrtd,,
acpid,,
autofs,,
certmonger,,
cgred,,
sssd,,
telnetd,,
atd,at,4298-6
avahi-daemon,,4365-3
bluetooth,,4355-4
cgconfig,libcgroup,
cpuspeed,cpuspeed,
cups,cups,
dhcpd,dhcp,4336-4
dovecot,dovecot,3847-1
haldaemon,hal,
httpd,httpd,4338-0
isdn,isdn4k-utils,4286-1
kdump,kexec-tools,
mcstrans,,3668-1
mdmonitor,mdadm,
messagebus,dbus,
named,bind,3578-2
netconsole,,
netfs,,
nfs,nfs-utils,
nfslock,nfs-utils,
oddjobd,oddjob,
portreserve,portreserve,
quota_nld,quota,
rdisc,iputils,
rhnsd,rhnsd,3416-5
rpcbind,rpcbind,
rpcgssd,nfs-utils,
rpcidmapd,nfs-utils,
rpcsvcgssd,nfs-utils,
saslauthd,cyrus-sasl,
sendmail,sendmail,4416-4
smartd,smartmontools,
smb,,4551-8
snmpd,net-snmp,3765-5
squid,squid,4556-7
sshd,openssh-server,4268-9
sysstat,sysstat,
telnet,telnet-server,3390-2
tftp,tftp-server,4273-9
vsftpd,vsftpd,3919-8
xinetd,xinetd,4252-3
ypbind,ypbind,4072-5
ypserv,ypserv,3705-1
