# service_name, package_name, daemon_name (as recognized by chkconfig / systemd. To be used when daemon_name differs from service_name)
abrtd,,
acpid,,
autofs,,
certmonger,,
cgred,,
sssd,,
telnetd,,
atd,at,
avahi-daemon,,
bluetooth,,
cgconfig,libcgroup,
cpuspeed,cpuspeed,
cups,cups,
dhcpd,dhcp,
dovecot,dovecot,
haldaemon,hal,
httpd,httpd,
isdn,isdn4k-utils,
kdump,kexec-tools,
mcstrans,,
mdmonitor,mdadm,
messagebus,dbus,
named,bind,
netconsole,,
netfs,,
nfs,nfs-utils,
nfslock,nfs-utils,
oddjobd,oddjob,
portreserve,portreserve,
qpidd,qpid-cpp-server,
quota_nld,quota,
rdisc,iputils,
rhnsd,rhnsd,
rhsmcertd,subscription-manager,
rpcbind,rpcbind,
rpcgssd,nfs-utils,
rpcidmapd,nfs-utils,
rpcsvcgssd,nfs-utils,
saslauthd,cyrus-sasl,
sendmail,sendmail,
smartd,smartmontools,
smb,,
snmpd,net-snmp,
squid,squid,
sshd,openssh-server,
sysstat,sysstat,
telnet,telnet-server,
tftp,tftp-server,
vsftpd,vsftpd,
xinetd,xinetd,
ypbind,ypbind,
ypserv,ypserv,
