# service_name, package_name, daemon_name (as recognized by chkconfig / systemd. To be used when daemon_name differs from service_name)
abrtd,abrt,
acpid,,
atd,at,
autofs,,
avahi-daemon,avahi,
bluetooth,bluez,
certmonger,,
cgconfig,libcgroup,
cgred,libcgroup-tools,
cpupower,kernel-tools,
cups,,
debug-shell,,
dhcpd,dhcp,
dovecot,,
httpd,,
kdump,kexec-tools,
mdmonitor,mdadm,
messagebus,dbus,
named,bind,
netconsole,,
nfs,nfs-utils,
nfslock,nfs-utils,
ntpd,,
ntpdate,,
oddjobd,oddjob,
portreserve,,
qpidd,qpid-cpp-server,
quota_nld,quota-nld,
rdisc,iputils,
rexec,,
rhnsd,,
rhsmcertd,subscription-manager,
rlogin,,
rpcbind,nfs-utils,
rpcgssd,nfs-utils,
rpcidmapd,nfs-utils,
rpcsvcgssd,nfs-utils,
rsh,,
saslauthd,cyrus-sasl,
smartd,smartmontools,
smb,samba,
snmpd,net-snmp,
squid,,
sshd,,
sssd,,
sysstat,sysstat,
telnet,,
tftp,tftp-server,
vsftpd,,
xinetd,,
ypbind,,
zebra,quagga,
