# <service_name, package_name, daemon_name[, mask_service]> (as recognized by chkconfig / systemd. To be used when daemon_name differs from service_name) (mask_service: mask the service. Acceptable values are: true or false. Default value is true.)
abrtd,abrt,
acpid,,
atd,at,
autofs,,
avahi-daemon,avahi,
bluetooth,bluez,
certmonger,,
cgconfig,libcgroup,
cgred,libcgroup-tools,
cpupower,kernel-tools,
cups,,
debug-shell,systemd,
dhcpd,dhcp,
dovecot,,
httpd,,
kdump,kexec-tools,
mdmonitor,mdadm,
messagebus,dbus,
named,bind,
netconsole,,
nfs,nfs-utils,
nfslock,nfs-utils,
ntpd,ntp,
ntpdate,,
oddjobd,oddjob,
portreserve,,
qpidd,qpid-cpp-server,
quota_nld,quota-nld,
rdisc,iputils,
rexec,rsh-server,
rhnsd,,
rhsmcertd,subscription-manager,
rlogin,rsh-server,
rpcbind,nfs-utils,
rpcgssd,nfs-utils,
rpcidmapd,nfs-utils,
rpcsvcgssd,nfs-utils,
rsh,,
saslauthd,cyrus-sasl,
smartd,smartmontools,
smb,samba,
snmpd,net-snmp,
squid,,
sshd,openssh,
sysstat,sysstat,
telnet,,
tftp,tftp-server,
vsftpd,,
xinetd,,
ypbind,,
zebra,quagga,
